,date,state,positive,death,total,temp,stp,wdsp,prcp,fog,coronavirus,covid,dry cough,fever,shortness of breath,face mask,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
1952,2020-01-22,WA,1.0,0.0,1,32.1,874.8,2.3,0.42,1,9,0,25,17,19,1,199,0,57,45,28520
1951,2020-01-23,WA,1.0,0.0,1,32.6,878.0,2.7,0.52,1,6,0,12,33,36,1,1436,3,107,524,186460
1950,2020-01-24,WA,1.0,0.0,1,35.4,874.9,2.2,1.13,1,8,0,0,36,19,2,3207,0,487,1054,660769
1949,2020-01-25,WA,1.0,0.0,1,34.3,876.5,1.5,0.14,1,10,0,14,53,21,3,3558,2,448,1320,998717
1948,2020-01-26,WA,1.0,0.0,1,33.8,875.6,2.7,0.55,1,12,0,13,35,58,6,3802,1,708,1142,1356180
1947,2020-01-27,WA,1.0,0.0,1,32.6,879.3,2.8,0.3,1,14,0,12,32,0,2,3383,9,644,1095,989434
1946,2020-01-28,WA,1.0,0.0,1,31.5,875.6,2.0,1.07,1,15,0,12,16,18,6,4063,5,644,1202,875551
1945,2020-01-29,WA,1.0,0.0,1,33.7,881.4,1.5,0.11,1,13,0,12,33,18,3,6755,9,1028,1286,1909260
1944,2020-01-30,WA,1.0,0.0,1,31.9,883.7,2.6,0.13,1,15,0,24,38,0,4,7147,177,1299,1603,2358087
1943,2020-01-31,WA,1.0,0.0,1,40.9,880.3,5.9,0.07,1,15,0,12,44,37,5,6977,127,1356,1316,2145603
1942,2020-02-01,WA,1.0,0.0,1,41.8,875.9,8.8,0.06,1,12,0,13,44,20,4,2732,33,479,489,940959
1941,2020-02-02,WA,1.0,0.0,1,25.5,880.1,4.2,0.15,1,9,0,13,30,20,4,3018,13,431,466,1058172
1940,2020-02-03,WA,1.0,0.0,1,23.9,880.4,3.7,0.03,1,9,0,11,29,34,4,3113,12,533,633,1045023
1939,2020-02-04,WA,1.0,0.0,1,21.8,885.6,3.2,0.03,1,9,0,0,22,36,3,3414,8,575,669,1168053
