date,iso,country,coronavirus,covid,dry cough,fever,shortness of breath,face mask
2020-01-01,US,United States,0,0,20,38,17,1
2020-01-02,US,United States,0,0,19,38,28,2
2020-01-03,US,United States,0,0,24,38,18,1
2020-01-04,US,United States,0,0,18,46,18,2
2020-01-05,US,United States,0,0,22,39,16,2
2020-01-06,US,United States,0,0,24,37,19,1
2020-01-07,US,United States,0,0,22,41,23,1
2020-01-08,US,United States,0,0,18,37,19,2
2020-01-09,US,United States,0,0,18,37,22,1
2020-01-10,US,United States,0,0,14,36,22,1
2020-01-11,US,United States,0,0,19,38,19,2
2020-01-12,US,United States,0,0,13,40,20,2
2020-01-13,US,United States,0,0,16,37,17,1
2020-01-14,US,United States,0,0,15,41,22,1
2020-01-15,US,United States,0,0,21,42,16,1
2020-01-16,US,United States,0,0,17,38,17,1
2020-01-17,US,United States,0,0,14,36,23,1
2020-01-18,US,United States,0,0,10,40,15,2
2020-01-19,US,United States,0,0,13,43,14,2
2020-01-20,US,United States,0,0,14,37,22,2
2020-01-21,US,United States,3,0,18,41,23,2
2020-01-22,US,United States,3,0,20,41,23,2
2020-01-23,US,United States,4,0,11,46,18,2
2020-01-24,US,United States,8,0,14,39,19,2
2020-01-25,US,United States,9,0,19,43,20,3
2020-01-26,US,United States,10,0,16,40,24,3
2020-01-27,US,United States,11,0,19,40,17,4
2020-01-28,US,United States,11,0,21,47,23,4
2020-01-29,US,United States,11,0,17,48,19,3
2020-01-30,US,United States,11,0,17,42,18,4
2020-01-31,US,United States,11,0,11,43,24,4
2020-02-01,US,United States,9,0,21,45,18,4
2020-02-02,US,United States,8,0,13,46,20,4
2020-02-03,US,United States,7,0,22,43,28,3
2020-02-04,US,United States,6,0,17,48,22,3
2020-02-05,US,United States,5,0,10,44,22,3
2020-02-06,US,United States,6,0,14,42,23,2
2020-02-07,US,United States,6,0,16,46,25,2
2020-02-08,US,United States,5,0,17,39,22,3
2020-02-09,US,United States,5,0,28,45,20,3
2020-02-10,US,United States,5,0,17,44,20,2
2020-02-11,US,United States,5,0,22,46,21,2
2020-02-12,US,United States,4,0,22,41,27,2
