date,iso,country,geoName,geoCode,coronavirus,covid,dry cough,fever,shortness of breath,face mask
2020-01-01,US,United States,Alabama,US-AL,0,0,0,12,25,2
2020-01-02,US,United States,Alabama,US-AL,0,0,32,39,23,1
2020-01-03,US,United States,Alabama,US-AL,0,0,0,35,44,2
2020-01-04,US,United States,Alabama,US-AL,0,0,17,19,24,3
2020-01-05,US,United States,Alabama,US-AL,0,0,18,24,37,0
2020-01-06,US,United States,Alabama,US-AL,0,0,0,26,22,0
2020-01-07,US,United States,Alabama,US-AL,0,0,0,27,22,3
2020-01-08,US,United States,Alabama,US-AL,0,0,0,21,22,1
2020-01-09,US,United States,Alabama,US-AL,0,0,0,22,0,3
2020-01-10,US,United States,Alabama,US-AL,0,0,0,25,21,1
2020-01-11,US,United States,Alabama,US-AL,0,0,0,18,45,1
2020-01-12,US,United States,Alabama,US-AL,0,0,0,32,48,0
2020-01-13,US,United States,Alabama,US-AL,0,0,0,34,39,1
2020-01-14,US,United States,Alabama,US-AL,0,0,0,20,18,2
2020-01-15,US,United States,Alabama,US-AL,0,0,14,37,0,3
2020-01-16,US,United States,Alabama,US-AL,0,0,15,27,21,1
2020-01-17,US,United States,Alabama,US-AL,0,0,0,16,22,3
2020-01-18,US,United States,Alabama,US-AL,0,0,0,23,24,4
2020-01-19,US,United States,Alabama,US-AL,0,0,0,42,36,3
2020-01-20,US,United States,Alabama,US-AL,0,0,16,21,22,1
2020-01-21,US,United States,Alabama,US-AL,3,0,0,30,21,2
2020-01-22,US,United States,Alabama,US-AL,3,0,31,34,0,5
2020-01-23,US,United States,Alabama,US-AL,2,0,0,36,21,3
2020-01-24,US,United States,Alabama,US-AL,4,0,0,31,43,4
2020-01-25,US,United States,Alabama,US-AL,6,0,0,36,25,0
2020-01-26,US,United States,Alabama,US-AL,6,0,0,44,23,6
2020-01-27,US,United States,Alabama,US-AL,7,0,14,35,0,2
2020-01-28,US,United States,Alabama,US-AL,5,0,15,37,21,4
2020-01-29,US,United States,Alabama,US-AL,6,0,0,35,17,3
2020-01-30,US,United States,Alabama,US-AL,8,0,0,33,17,2
2020-01-31,US,United States,Alabama,US-AL,8,0,12,40,0,4
2020-02-01,US,United States,Alabama,US-AL,5,0,0,42,18,3
2020-02-02,US,United States,Alabama,US-AL,5,0,0,44,0,3
2020-02-03,US,United States,Alabama,US-AL,4,0,0,36,15,1
2020-02-04,US,United States,Alabama,US-AL,4,0,11,41,0,4
2020-02-05,US,United States,Alabama,US-AL,3,0,11,31,31,2
2020-02-06,US,United States,Alabama,US-AL,3,0,0,50,0,0
2020-02-07,US,United States,Alabama,US-AL,4,0,12,22,16,2
2020-02-08,US,United States,Alabama,US-AL,4,0,26,33,19,3
2020-02-09,US,United States,Alabama,US-AL,4,0,0,34,29,6
2020-02-10,US,United States,Alabama,US-AL,3,0,11,25,32,1
2020-02-11,US,United States,Alabama,US-AL,3,0,0,40,0,2
2020-02-12,US,United States,Alabama,US-AL,4,1,23,41,48,1
2020-02-13,US,United States,Alabama,US-AL,4,1,0,32,32,2
2020-02-14,US,United States,Alabama,US-AL,2,0,0,21,17,3
2020-02-15,US,United States,Alabama,US-AL,2,0,0,31,0,3
2020-02-16,US,United States,Alabama,US-AL,2,0,0,32,18,2
2020-02-17,US,United States,Alabama,US-AL,3,0,0,33,25,3
2020-02-18,US,United States,Alabama,US-AL,2,0,0,30,0,4
2020-02-19,US,United States,Alabama,US-AL,3,0,56,39,20,0
2020-02-20,US,United States,Alabama,US-AL,2,0,14,24,20,2
2020-02-21,US,United States,Alabama,US-AL,2,0,0,39,61,4
2020-02-22,US,United States,Alabama,US-AL,4,1,0,17,24,1
2020-02-23,US,United States,Alabama,US-AL,8,1,0,42,24,6
2020-02-24,US,United States,Alabama,US-AL,7,1,0,36,20,4
2020-02-25,US,United States,Alabama,US-AL,9,0,0,30,30,4
2020-02-26,US,United States,Alabama,US-AL,12,2,14,38,0,18
2020-02-27,US,United States,Alabama,US-AL,14,2,14,27,20,9
2020-02-28,US,United States,Alabama,US-AL,14,1,29,39,20,11
2020-02-29,US,United States,Alabama,US-AL,12,1,0,29,48,10
2020-03-01,US,United States,Alabama,US-AL,12,2,0,34,0,7
2020-03-02,US,United States,Alabama,US-AL,13,4,0,37,29,8
2020-03-03,US,United States,Alabama,US-AL,17,4,0,35,19,5
2020-03-04,US,United States,Alabama,US-AL,13,3,0,37,0,5
2020-03-05,US,United States,Alabama,US-AL,18,4,14,36,20,5
