month,day,hour,twitter_number
01,21,22,68
01,21,23,156
01,22,00,129
01,22,01,128
01,22,02,243
01,22,03,338
01,22,04,255
01,22,05,246
01,22,06,179
01,22,07,161
01,22,08,264
01,22,09,710
01,22,10,727
01,22,11,1084
01,22,12,1082
01,22,13,1474
01,22,14,1641
01,22,15,2139
01,22,16,2135
01,22,17,1647
01,22,18,1919
01,22,19,2744
01,22,20,2999
01,22,21,2219
01,22,22,2028
01,22,23,2029
01,23,00,2410
01,23,01,2480
01,23,02,2322
01,23,03,2267
01,23,04,2060
01,23,05,1998
01,23,06,2296
01,23,07,2006
01,23,08,2296
01,23,09,2301
01,23,10,3623
01,23,11,4374
01,23,12,5192
01,23,13,6611
01,23,14,8785
01,23,15,17935
01,23,16,18037
01,23,17,16067
01,23,18,17550
01,23,19,15425
01,23,20,12463
01,23,21,12771
01,23,22,12220
01,23,23,12971
01,24,00,14309
01,24,01,14668
01,24,02,15241
01,24,03,15877
01,24,04,15696
01,24,05,14869
01,24,06,25416
01,24,07,27195
01,24,08,26547
01,24,09,26232
01,24,10,27340
01,24,11,29971
01,24,12,31667
01,24,13,33304
01,24,14,33778
01,24,15,46101
01,24,16,45586
01,24,17,37741
01,24,18,31138
01,24,19,31107
01,24,20,27200
01,24,21,30448
01,24,22,29868
01,24,23,29470
01,25,00,32104
01,25,01,34672
01,25,02,35122
01,25,03,37808
01,25,04,43284
01,25,05,40630
01,25,06,39429
01,25,07,37437
01,25,08,37963
01,25,09,36701
01,25,10,36577
01,25,11,40071
01,25,12,45206
01,25,13,51245
01,25,14,61506
01,25,15,67024
01,25,16,57362
01,25,17,48414
01,25,18,40030
01,25,19,35399
01,25,20,30747
01,25,21,29240
01,25,22,35545
01,25,23,45201
01,26,00,47450
01,26,01,51336
01,26,02,55143
01,26,03,59115
01,26,04,57551
01,26,05,55244
01,26,06,52344
01,26,07,53390
01,26,08,55627
01,26,09,52656
01,26,10,52898
01,26,11,56157
01,26,12,58261
01,26,13,65588
01,26,14,72685
01,26,15,76308
01,26,16,72056
01,26,17,60876
01,26,18,51686
01,26,19,50571
01,26,20,51072
01,26,21,49097
01,26,22,47936
01,26,23,51133
01,27,00,49477
01,27,01,48902
01,27,02,50633
01,27,03,54043
01,27,04,48995
01,27,05,42288
01,27,06,38148
01,27,07,34104
01,27,08,33268
01,27,09,32899
01,27,10,32955
01,27,11,37104
01,27,12,42206
01,27,13,45488
01,27,14,49535
01,27,15,51200
01,27,16,47536
01,27,17,45273
01,27,18,39881
01,27,19,36068
01,27,20,32439
01,27,21,32266
01,27,22,30079
01,27,23,34647
01,28,00,32522
01,28,01,36691
01,28,02,39705
01,28,03,41740
01,28,04,39292
01,28,05,35039
01,28,06,33743
01,28,07,31082
01,28,08,31360
01,28,09,34474
01,28,10,34454
01,28,11,36823
01,28,12,37623
01,28,13,39282
01,28,14,40196
01,28,15,38813
01,28,16,40207
01,28,17,38885
01,28,18,37700
01,28,19,34124
01,28,20,31545
01,28,21,30760
01,28,22,31969
01,28,23,47522
01,29,00,51587
01,29,01,87527
01,29,02,82713
01,29,03,83309
01,29,04,76364
01,29,05,86915
01,29,06,73477
01,29,07,81690
01,29,08,77481
01,29,09,70643
01,29,10,79608
01,29,11,75979
01,29,12,84959
01,29,13,90656
01,29,14,100414
01,29,15,99453
01,29,16,105775
01,29,17,88023
01,29,18,84258
01,29,19,83730
01,29,20,81586
01,29,21,68744
01,29,22,83206
01,29,23,81806
01,30,00,84861
