Chinawords,Italywords,USwords,Outbreakwords,date,str_date,twitter_number
1,0,2,0,2020-01-21 22:00:00,01-21 22:00,68
4,0,2,0,2020-01-21 23:00:00,01-21 23:00,156
1,0,2,0,2020-01-22 00:00:00,01-22 00:00,129
0,0,1,0,2020-01-22 01:00:00,01-22 01:00,128
1,0,3,0,2020-01-22 02:00:00,01-22 02:00,243
4,0,1,1,2020-01-22 03:00:00,01-22 03:00,338
4,0,2,0,2020-01-22 04:00:00,01-22 04:00,255
3,0,0,0,2020-01-22 05:00:00,01-22 05:00,246
2,0,0,0,2020-01-22 06:00:00,01-22 06:00,179
2,0,4,1,2020-01-22 07:00:00,01-22 07:00,161
3,0,1,1,2020-01-22 08:00:00,01-22 08:00,264
4,0,0,1,2020-01-22 09:00:00,01-22 09:00,710
3,0,2,0,2020-01-22 10:00:00,01-22 10:00,727
7,0,1,1,2020-01-22 11:00:00,01-22 11:00,1084
8,0,1,0,2020-01-22 12:00:00,01-22 12:00,1082
8,0,3,2,2020-01-22 13:00:00,01-22 13:00,1474
13,0,9,3,2020-01-22 14:00:00,01-22 14:00,1641
14,0,4,2,2020-01-22 15:00:00,01-22 15:00,2139
21,0,2,8,2020-01-22 16:00:00,01-22 16:00,2135
7,0,5,1,2020-01-22 17:00:00,01-22 17:00,1647
9,0,0,0,2020-01-22 18:00:00,01-22 18:00,1919
21,0,4,5,2020-01-22 19:00:00,01-22 19:00,2744
20,0,0,4,2020-01-22 20:00:00,01-22 20:00,2999
25,0,5,9,2020-01-22 21:00:00,01-22 21:00,2219
12,0,6,4,2020-01-22 22:00:00,01-22 22:00,2028
7,0,1,2,2020-01-22 23:00:00,01-22 23:00,2029
15,0,1,4,2020-01-23 00:00:00,01-23 00:00,2410
11,0,1,4,2020-01-23 01:00:00,01-23 01:00,2480
8,0,2,3,2020-01-23 02:00:00,01-23 02:00,2322
14,0,2,3,2020-01-23 03:00:00,01-23 03:00,2267
4,0,3,0,2020-01-23 04:00:00,01-23 04:00,2060
8,0,3,2,2020-01-23 05:00:00,01-23 05:00,1998
16,0,2,3,2020-01-23 06:00:00,01-23 06:00,2296
5,0,0,0,2020-01-23 07:00:00,01-23 07:00,2006
13,0,0,2,2020-01-23 08:00:00,01-23 08:00,2296
15,0,1,4,2020-01-23 09:00:00,01-23 09:00,2301
33,0,3,17,2020-01-23 10:00:00,01-23 10:00,3623
44,0,3,16,2020-01-23 11:00:00,01-23 11:00,4374
55,0,0,22,2020-01-23 12:00:00,01-23 12:00,5192
51,0,4,14,2020-01-23 13:00:00,01-23 13:00,6611
65,0,2,26,2020-01-23 14:00:00,01-23 14:00,8785
168,1,12,67,2020-01-23 15:00:00,01-23 15:00,17935
148,0,10,58,2020-01-23 16:00:00,01-23 16:00,18037
109,0,11,39,2020-01-23 17:00:00,01-23 17:00,16067
162,0,10,58,2020-01-23 18:00:00,01-23 18:00,17550
103,0,8,36,2020-01-23 19:00:00,01-23 19:00,15425
106,0,5,40,2020-01-23 20:00:00,01-23 20:00,12463
88,0,3,37,2020-01-23 21:00:00,01-23 21:00,12771
108,0,15,45,2020-01-23 22:00:00,01-23 22:00,12220
87,2,6,24,2020-01-23 23:00:00,01-23 23:00,12971
89,0,1,30,2020-01-24 00:00:00,01-24 00:00,14309
124,0,10,44,2020-01-24 01:00:00,01-24 01:00,14668
125,0,4,38,2020-01-24 02:00:00,01-24 02:00,15241
88,0,9,28,2020-01-24 03:00:00,01-24 03:00,15877
96,0,10,40,2020-01-24 04:00:00,01-24 04:00,15696
84,0,5,36,2020-01-24 05:00:00,01-24 05:00,14869
113,0,8,52,2020-01-24 06:00:00,01-24 06:00,25416
133,0,8,45,2020-01-24 07:00:00,01-24 07:00,27195
137,0,7,46,2020-01-24 08:00:00,01-24 08:00,26547
136,0,14,42,2020-01-24 09:00:00,01-24 09:00,26232
112,0,9,42,2020-01-24 10:00:00,01-24 10:00,27340
139,0,9,44,2020-01-24 11:00:00,01-24 11:00,29971
175,0,11,46,2020-01-24 12:00:00,01-24 12:00,31667
163,0,15,49,2020-01-24 13:00:00,01-24 13:00,33304
142,0,14,47,2020-01-24 14:00:00,01-24 14:00,33778
218,0,80,57,2020-01-24 15:00:00,01-24 15:00,46101
228,0,61,73,2020-01-24 16:00:00,01-24 16:00,45586
134,0,30,51,2020-01-24 17:00:00,01-24 17:00,37741
150,0,39,47,2020-01-24 18:00:00,01-24 18:00,31138
127,0,32,53,2020-01-24 19:00:00,01-24 19:00,31107
160,0,35,35,2020-01-24 20:00:00,01-24 20:00,27200
107,0,30,43,2020-01-24 21:00:00,01-24 21:00,30448
115,0,21,33,2020-01-24 22:00:00,01-24 22:00,29868
112,0,25,33,2020-01-24 23:00:00,01-24 23:00,29470
137,0,14,31,2020-01-25 00:00:00,01-25 00:00,32104
161,0,15,45,2020-01-25 01:00:00,01-25 01:00,34672
140,0,26,36,2020-01-25 02:00:00,01-25 02:00,35122
160,0,17,45,2020-01-25 03:00:00,01-25 03:00,37808
161,0,22,41,2020-01-25 04:00:00,01-25 04:00,43284
121,0,10,43,2020-01-25 05:00:00,01-25 05:00,40630
122,0,11,44,2020-01-25 06:00:00,01-25 06:00,39429
119,0,7,31,2020-01-25 07:00:00,01-25 07:00,37437
139,0,16,49,2020-01-25 08:00:00,01-25 08:00,37963
141,0,12,51,2020-01-25 09:00:00,01-25 09:00,36701
142,0,22,42,2020-01-25 10:00:00,01-25 10:00,36577
155,0,20,62,2020-01-25 11:00:00,01-25 11:00,40071
160,0,18,48,2020-01-25 12:00:00,01-25 12:00,45206
208,0,23,63,2020-01-25 13:00:00,01-25 13:00,51245
194,0,18,123,2020-01-25 14:00:00,01-25 14:00,61506
188,0,29,180,2020-01-25 15:00:00,01-25 15:00,67024
165,0,32,60,2020-01-25 16:00:00,01-25 16:00,57362
158,1,22,72,2020-01-25 17:00:00,01-25 17:00,48414
130,0,25,49,2020-01-25 18:00:00,01-25 18:00,40030
140,0,16,55,2020-01-25 19:00:00,01-25 19:00,35399
126,0,22,37,2020-01-25 20:00:00,01-25 20:00,30747
115,1,12,37,2020-01-25 21:00:00,01-25 21:00,29240
138,0,19,38,2020-01-25 22:00:00,01-25 22:00,35545
