,Date,Country_Region,Province_State,ConfirmedCases,Fatalities,Lat,Long,temp,min,max,stp,slp,dewp,rh,ah,wdsp,prcp,fog
19197,2020-01-22,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,33.7,21.6,48.9,999.9,,,,,2.5,0.0,0
19198,2020-01-23,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,41.5,37.9,46.2,999.9,,,,,2.8,0.0,0
19199,2020-01-24,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,51.6,45.9,61.0,999.9,,,,,4.9,0.87,0
19200,2020-01-25,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,43.1,29.5,57.0,999.9,,,,,5.4,0.02,0
19201,2020-01-26,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,42.5,31.6,53.8,999.9,,,,,2.0,0.0,0
19202,2020-01-27,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,49.1,45.3,56.7,999.9,,,,,3.7,0.06,0
19203,2020-01-28,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,44.2,32.9,62.6,999.9,,,,,1.3,0.02,0
19204,2020-01-29,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,46.5,41.0,58.5,999.9,,,,,2.7,0.0,0
19205,2020-01-30,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,44.2,30.4,60.3,999.9,,,,,1.7,0.25,0
19206,2020-01-31,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,48.1,41.2,56.7,999.9,,,,,2.9,0.0,0
19207,2020-02-01,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,48.7,45.7,52.9,999.9,,,,,4.3,0.0,0
19208,2020-02-02,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,47.1,30.6,67.6,999.9,,,,,5.0,0.0,0
19209,2020-02-03,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,53.3,37.0,73.6,999.9,,,,,4.1,0.0,0
19210,2020-02-04,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,62.5,54.9,72.3,999.9,,,,,6.3,0.0,0
19211,2020-02-05,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,66.5,63.9,72.1,999.9,,,,,8.3,0.09,0
19212,2020-02-06,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,62.0,46.8,74.3,999.9,,,,,9.9,0.51,0
19213,2020-02-07,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,42.8,34.9,49.5,999.9,,,,,9.8,1.48,0
19214,2020-02-08,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,42.9,31.5,59.4,999.9,,,,,4.2,0.01,0
19215,2020-02-09,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,47.4,33.4,66.9,999.9,,,,,4.3,0.03,0
19216,2020-02-10,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,60.1,51.6,71.1,999.9,,,,,5.7,0.0,0
19217,2020-02-11,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,65.7,59.4,76.5,999.9,,,,,6.7,2.74,0
19218,2020-02-12,US,Alabama,0.0,0.0,32.318199999999976,-86.9023,62.8,56.1,78.4,999.9,,,,,6.1,0.06,0
